"";"year";"reporter";"sum"
"1";1988;"Austria";4233157492
"2";1988;"Finland";1711465782
"3";1988;"France";27487504677
"4";1989;"Austria";4172353666
"5";1989;"Finland";2165559587
"6";1989;"France";30134596808
"7";1990;"Austria";5732763330
"8";1990;"Finland";2843910815
"9";1990;"France";36930946136
"10";1991;"Austria";5792348770
"11";1991;"Finland";2417608973
"12";1991;"France";41004144701
"13";1991;"Germany";65757624368
"14";1992;"Austria";5589910407
"15";1992;"Finland";2874668425
"16";1992;"France";44425530375
"17";1992;"Germany";68334999272
"18";1993;"Austria";5403567512
"19";1993;"Finland";3511188637
"20";1993;"France";41441659685
"21";1993;"Germany";60713619184
"22";1994;"Austria";6179761693
"23";1994;"Finland";4993089745
"24";1994;"France";46513238209
"25";1994;"Germany";70283449696
"26";1995;"Austria";6620015698
"27";1995;"Finland";7668609980
"28";1995;"France";59492735673
"29";1995;"Germany";85959810976
"30";1996;"Austria";6867255026
"31";1996;"Finland";8471239759
"32";1996;"France";61356533882
"33";1996;"Germany";84802650761
"34";1997;"Austria";7548927480
"35";1997;"Finland";9175948466
"36";1997;"France";63892707409
"37";1997;"Germany";87469810589
"38";1998;"Austria";8223134302
"39";1998;"Finland";10997578435
"40";1998;"France";70416066589
"41";1998;"Germany";97933172672
"42";1999;"Austria";8018262710
"43";1999;"Belgium";21309435136
"44";1999;"Finland";11458026358
"45";1999;"France";70664383525
"46";1999;"Germany";102808352239
"47";2000;"Austria";10181662465
"48";2000;"Belgium";24343371215
"49";2000;"Finland";14105742456
"50";2000;"France";75050481219
"51";2000;"Germany";107336448000
"52";2001;"Austria";10708496341
"53";2001;"Belgium";26908332317
"54";2001;"Finland";12101940375
"55";2001;"France";73480041346
"56";2001;"Germany";117288786000
"57";2002;"Austria";12767891547
"58";2002;"Belgium";37594531378
"59";2002;"Finland";12175850171
"60";2002;"France";74051816685
"61";2002;"Germany";120994774000
"62";2003;"Austria";15603209456
"63";2003;"Belgium";44101517290
"64";2003;"Finland";14085617042
"65";2003;"France";82533440545
"66";2003;"Germany";138966687000
"67";2004;"Austria";20734015576
"68";2004;"Belgium";51772264598
"69";2004;"Finland";15000717579
"70";2004;"France";94272615388
"71";2004;"Germany";178921065000
"72";2005;"Austria";20816288808
"73";2005;"Belgium";56929707905
"74";2005;"Finland";18172777229
"75";2005;"France";99601885308
"76";2005;"Germany";196658933000
"77";2006;"Austria";24920936394
"78";2006;"Belgium";60253443586
"79";2006;"Finland";19041579216
"80";2006;"France";112166939373
"81";2006;"Germany";226268319000
"82";2007;"Austria";24320911521
"83";2007;"Belgium";72115289398
"84";2007;"Finland";20355257260
"85";2007;"France";118097273669
"86";2007;"Germany";249414481000
"87";2008;"Austria";26881943781
"88";2008;"Belgium";76976321432
"89";2008;"Finland";22648017516
"90";2008;"France";135133812996
"91";2008;"Germany";280818490621
"92";2009;"Austria";23729589377
"93";2009;"Belgium";74324555188
"94";2009;"Finland";13441471995
"95";2009;"France";117477596983
"96";2009;"Germany";242337056214
"97";2010;"Austria";26436711396
"98";2010;"Belgium";30446960984
"99";2010;"Finland";11996529497
"100";2010;"France";134990795347
"101";2010;"Germany";266253020149
"102";2011;"Austria";29603431560
"103";2011;"Belgium";33336393672
"104";2011;"Finland";11821944918
"105";2011;"France";147108845174
"106";2011;"Germany";295979740328
"107";2012;"Austria";29312398960
"108";2012;"Belgium";30631978255
"109";2012;"Finland";10734063183
"110";2012;"France";147413599522
"111";2012;"Germany";292176475274
"112";2013;"Austria";31307369632
"113";2013;"Belgium";34639046968
"114";2013;"Finland";9538786650
"115";2013;"France";149778685347
"116";2013;"Germany";295971137859
"117";2014;"Austria";32235845547
"118";2014;"Belgium";36840776095
"119";2014;"Finland";9801858540
"120";2014;"France";145960167094
"121";2014;"Germany";302669549827
"122";2015;"Austria";27166830944
"123";2015;"Belgium";31174245117
"124";2015;"Finland";8042224157
"125";2015;"France";131533927797
"126";2015;"Germany";280449648423
"127";2016;"Austria";27440295693
"128";2016;"Belgium";41972477335
"129";2016;"Finland";7503273524
"130";2016;"France";130374425161
"131";2016;"Germany";286183714401
"132";2017;"Austria";28728433014
"133";2017;"Belgium";46082938107
"134";2017;"Finland";8369041064
"135";2017;"France";132717487148
"136";2017;"Germany";309486584620
"137";2018;"Austria";31312675469
"138";2018;"Belgium";50464722210
"139";2018;"Finland";8712690437
"140";2018;"France";140233119024
"141";2018;"Germany";338720338850
"142";2019;"Austria";31007228121
"143";2019;"Belgium";59469211439
"144";2019;"Finland";8379633381
"145";2019;"France";141712273768
"146";2019;"Germany";331118433629
"147";2020;"Austria";31707718784
"148";2020;"Belgium";65078575353
"149";2020;"Finland";8252916905
"150";2020;"France";112880392387
"151";2020;"Germany";318176537857
"152";2021;"Austria";41083729771
"153";2021;"Belgium";96148972256
"154";2021;"Finland";10209123473
"155";2021;"France";128915651904
"156";2021;"Germany";365652181433
"157";1988;"Netherlands";14131441315
"158";1988;"Spain";3745296284
"159";1989;"Netherlands";14637747682
"160";1989;"Spain";4199026121
"161";1990;"Netherlands";18668291195
"162";1991;"Netherlands";18879905274
"163";1992;"Greece";189841204
"164";1992;"Netherlands";20867862781
"165";1992;"Spain";6611222164
"166";1993;"Netherlands";22566526524
"167";1993;"Spain";6604912633
"168";1994;"Netherlands";25067322580
"169";1994;"Spain";8170887243
"170";1995;"Netherlands";32970772400
"171";1995;"Portugal";1469415759
"172";1995;"Spain";9203778759
"173";1996;"Netherlands";35155491516
"174";1996;"Portugal";1403257666
"175";1996;"Spain";10618592219
"176";1997;"Netherlands";44529726578
"177";1997;"Spain";10686641231
"178";1998;"Netherlands";41697562817
"179";1998;"Spain";11474077744
"180";1999;"Netherlands";45544598287
"181";1999;"Portugal";1814694695
"182";1999;"Spain";12662865732
"183";2000;"Netherlands";52105098492
"184";2000;"Portugal";2167518983
"185";2000;"Spain";13007448708
"186";2001;"Italy";29446616639
"187";2001;"Netherlands";45478083077
"188";2001;"Portugal";2264743337
"189";2001;"Spain";12991327757
"190";2002;"Italy";30945987893
"191";2002;"Netherlands";44496752932
"192";2002;"Portugal";2123890637
"193";2002;"Spain";14670894508
"194";2003;"Greece";1349742253
"195";2003;"Italy";33260011779
"196";2003;"Netherlands";62615130764
"197";2003;"Portugal";3043486105
"198";2003;"Spain";17805940522
"199";2004;"Italy";38595427379
"200";2004;"Netherlands";78558410242
"201";2004;"Portugal";3495588656
"202";2004;"Spain";20958391913
"203";2005;"Greece";1974115222
"204";2005;"Italy";41917094817
"205";2005;"Portugal";3593475570
"206";2005;"Spain";23397107062
"207";2006;"Greece";2215135248
"208";2006;"Italy";44186650797
"209";2006;"Portugal";4207809746
"210";2006;"Spain";24630881185
"211";2007;"Greece";2303848030
"212";2007;"Italy";49717145848
"213";2007;"Netherlands";105915767020
"214";2007;"Portugal";4789744615
"215";2007;"Spain";28874922822
"216";2008;"Greece";2871053314
"217";2008;"Italy";53993217878
"218";2008;"Netherlands";99615150944
"219";2008;"Portugal";5218282895
"220";2008;"Spain";33144002370
"221";2009;"Greece";2809696148
"222";2009;"Italy";48621214210
"223";2009;"Netherlands";87343131211
"224";2009;"Portugal";3071569907
"225";2009;"Spain";29469427036
"226";2010;"Greece";2703098855
"227";2010;"Italy";53452610375
"228";2010;"Netherlands";99426106942
"229";2010;"Portugal";3380578674
"230";2010;"Spain";32202657756
"231";2011;"Greece";2854124533
"232";2011;"Italy";64325391387
"233";2011;"Netherlands";110438204991
"234";2011;"Portugal";4420135734
"235";2011;"Spain";39333706870
"236";2012;"Greece";2798506322
"237";2012;"Italy";65262082210
"238";2012;"Netherlands";104704090780
"239";2012;"Portugal";4725018912
"240";2012;"Spain";37179087488
"241";2013;"Greece";2756836560
"242";2013;"Italy";65292401670
"243";2013;"Netherlands";102690668263
"244";2013;"Portugal";4862874104
"245";2013;"Spain";39294840111
"246";2014;"Greece";2792651402
"247";2014;"Italy";64969472195
"248";2014;"Netherlands";108570978891
"249";2014;"Portugal";5027475162
"250";2014;"Spain";36337371016
"251";2015;"Greece";2663880849
"252";2015;"Italy";54755689195
"253";2015;"Netherlands";90442281191
"254";2015;"Portugal";4279016761
"255";2015;"Spain";32421989662
"256";2016;"Greece";2762383329
"257";2016;"Italy";56299895392
"258";2016;"Netherlands";90179612697
"259";2016;"Portugal";5206714667
"260";2016;"Spain";34190272654
"261";2017;"Greece";2859353234
"262";2017;"Italy";61483563669
"263";2017;"Netherlands";106676343786
"264";2017;"Portugal";5812352094
"265";2017;"Spain";35188322552
"266";2018;"Greece";3668315593
"267";2018;"Italy";68290831922
"268";2018;"Netherlands";111476191522
"269";2018;"Portugal";6023051995
"270";2018;"Spain";36969576293
"271";2019;"Greece";4038931221
"272";2019;"Italy";70389029202
"273";2019;"Netherlands";115261671625
"274";2019;"Portugal";5929745614
"275";2019;"Spain";37790212648
"276";2020;"Greece";5166548452
"277";2020;"Italy";74256957196
"278";2020;"Netherlands";120130019524
"279";2020;"Portugal";5594779156
"280";2020;"Spain";36397977640
"281";2021;"Greece";11867865687
"282";2021;"Italy";78815772075
"283";2021;"Netherlands";137336160403
"284";2021;"Portugal";6099226444
"285";2021;"Spain";48037044858
"286";1988;"Greece";112110363
"287";1988;"Italy";13227193865
"288";1988;"Portugal";597399773
"289";1989;"Greece";137849384
"290";1989;"Italy";14674984084
"291";1989;"Portugal";713023484
"292";1990;"Greece";160987150
"293";1990;"Italy";18028042319
"294";1990;"Portugal";880654104
"295";1990;"Spain";5273106947
"296";1991;"Greece";193347228
"297";1991;"Italy";17908737384
"298";1991;"Portugal";878172571
"299";1991;"Spain";6112545064
"300";1992;"Italy";19520602445
"301";1992;"Portugal";950161795
"302";1993;"Greece";252500688
"303";1993;"Italy";18413487858
"304";1994;"Greece";243759458
"305";1994;"Italy";20225632443
"306";1994;"Portugal";893124241
"307";1995;"Greece";365423666
"308";1995;"Italy";24211201358
"309";1996;"Greece";361566325
"310";1996;"Italy";26122508933
"311";1997;"Italy";24279433094
"312";1997;"Portugal";1454923032
"313";1998;"Greece";564951457
"314";1998;"Italy";26171314788
"315";1998;"Portugal";1533588243
"316";1999;"Greece";676399525
"317";1999;"Italy";26684032928
"318";2000;"Greece";928962546
"319";2000;"Italy";29643033484
"320";2001;"Greece";870673904
"321";2004;"Greece";1636680289
"322";2005;"Netherlands";84714129740
"323";2006;"Netherlands";92990585731
"324";1993;"Portugal";677487177
"325";1997;"Greece";410516720
"326";2002;"Greece";832674210
"327";1988;"Ireland";5030179973
"328";1989;"Ireland";5945616161
"329";1990;"Ireland";6789959149
"330";1991;"Ireland";6591055452
"331";1992;"Ireland";7397296303
"332";1993;"Ireland";8291531114
"333";1994;"Ireland";10399109673
"334";1995;"Ireland";15046859271
"335";1996;"Ireland";17029106396
"336";1997;"Ireland";20792666239
"337";1998;"Ireland";25265022259
"338";1999;"Ireland";29900373175
"339";2000;"Ireland";33141233043
"340";2001;"Ireland";38509647469
"341";2002;"Ireland";43492540065
"342";2003;"Ireland";39752454907
"343";2004;"Ireland";44520875534
"344";2005;"Ireland";43455109027
"345";2006;"Ireland";88471691704
"346";2007;"Ireland";95020949036
"347";2008;"Ireland";99228707307
"348";2009;"Ireland";96548801990
"349";2010;"Ireland";43541853109
"350";2011;"Ireland";48901623764
"351";2012;"Ireland";42599373159
"352";2013;"Ireland";39866702815
"353";2014;"Ireland";41718951373
"354";2015;"Ireland";48822195360
"355";2016;"Ireland";53423145044
"356";2017;"Ireland";59833989277
"357";2018;"Ireland";73818785388
"358";2019;"Ireland";76555040326
"359";2020;"Ireland";88616356984
"360";2021;"Ireland";93213708694
