year,erate
1960,1.05621
1961,1.06734
1962,1.06981
1963,1.06981
1964,1.06981
1965,1.06981
1966,1.06981
1967,1.064817
1968,1.02889
1969,1.022187
1970,1.022227
1971,1.04776
1972,1.12178
1973,1.23173
1974,1.1927
1975,1.24077
1976,1.11805
1977,1.14112
1978,1.2741
1979,1.37047
1980,1.39233
1981,1.11645
1982,0.979715
1983,0.89022
1984,0.789034
1985,0.763088
1986,0.984167
1987,1.15444
1988,1.18248
1989,1.10175
1990,1.27343
1991,1.23916
1992,1.2981
1993,1.171
1994,1.18952
1995,1.30801
1996,1.26975
1997,1.13404
1998,1.12109
1999,1.065776448
2000,0.923612549
2001,0.895629528
2002,0.945573725
2003,1.131160392
2004,1.243902317
2005,1.244090272
2006,1.255598824
2007,1.370478039
2008,1.470755469
2009,1.394782422
2010,1.325716667
2011,1.391955253
2012,1.284788672
2013,1.328118039
2014,1.328500784
2015,1.109512891
2016,1.106903113
2017,1.129681176
2018,1.18095451
2019,1.11947451
2020,1.142196109
2021,1.1824
2022,1.035474692
2023,0.98382
2024,0.98382
