year,tech,reporter,share_tech_exports,share_tech_imports
1992,HIGH,Austria,0.0832210994614901,0.112343926494294
1992,LOW,Austria,0.199264208450915,0.180465154529029
1992,MED,Austria,0.320863446010661,0.319652095284649
1992,PRIM,Austria,0.220476910857531,0.244395896578671
1992,RES,Austria,0.176174335219403,0.143142927113357
1992,HIGH,Finland,0.0889240866140089,0.129051547167881
1992,LOW,Finland,0.105840892899666,0.125175499912789
1992,MED,Finland,0.218142791501682,0.273196626388646
1992,PRIM,Finland,0.193967338543232,0.287897709404854
1992,RES,Finland,0.393124890441411,0.18467861712583
1992,HIGH,France,0.142940861477056,0.126429799157423
1992,LOW,France,0.128287774768582,0.161277783802065
1992,MED,France,0.314067483968719,0.277087231703079
1992,PRIM,France,0.242772788990171,0.276394273239081
1992,RES,France,0.171931090795472,0.158810912098352
1992,HIGH,Germany,0.118243314335525,0.138590624840269
1992,LOW,Germany,0.126203344568264,0.178966156467157
1992,MED,Germany,0.40274402682425,0.26129866075154
1992,PRIM,Germany,0.219990635068125,0.26229929124831
1992,RES,Germany,0.132818679203836,0.158845266692724
1992,HIGH,Greece,0.0167571464761201,0.0784333522520646
1992,LOW,Greece,0.346544575440847,0.140394859112985
1992,MED,Greece,0.073695863404073,0.355666262239472
1992,PRIM,Greece,0.331366507604495,0.274022174931946
1992,RES,Greece,0.231635907074465,0.151483351463532
1992,HIGH,Italy,0.0824722029687579,0.125078887729963
1992,LOW,Italy,0.255973741814592,0.124573643939164
1992,MED,Italy,0.30662725044687,0.289169791067624
1992,PRIM,Italy,0.217930210318647,0.27457080294189
1992,RES,Italy,0.136996594451133,0.18660687432136
1992,HIGH,Netherlands,0.127920333501512,0.134021055347773
1992,LOW,Netherlands,0.123675079153332,0.164577255918459
1992,MED,Netherlands,0.217990859382559,0.243420140295459
1992,PRIM,Netherlands,0.321062987146588,0.295570274806394
1992,RES,Netherlands,0.209350740816009,0.162411273631915
1992,HIGH,Portugal,0.0426955128494218,0.0964006924900511
1992,LOW,Portugal,0.395196970227188,0.161412556721667
1992,MED,Portugal,0.197570945175914,0.341522425690885
1992,PRIM,Portugal,0.149819342075348,0.260887022703616
1992,RES,Portugal,0.214717229672129,0.139777302393782
1992,HIGH,Spain,0.0848211858291039,0.116086543639548
1992,LOW,Spain,0.146911189577665,0.127513761972402
1992,MED,Spain,0.394158615249352,0.304789616456294
1992,PRIM,Spain,0.18949118111313,0.29303518762856
1992,RES,Spain,0.184617828230749,0.158574890303197
